DTDPDEHYRHAMREDUCT__45__RXN	['DTDPDEHYRHAMREDUCT__45__RXN']
RXN__45__16032__45__PALMITYL__45__COA__47__CPD0__45__2113__47____47__CPD__45__17273__47__CO__45__A__46__39__46__	['RXN__45__16032__45__PALMITYL__45__COA__47__CPD0__45__2113__47____47__CPD__45__17273__47__CO__45__A__46__39__46__']
RXN__45__14552	[]
RXN__45__17608	[]
RXN__45__10659	['RXN__45__10659']
RXN__45__10658	['RXN__45__10658']
RXN__45__12587	['RXN__45__12587']
RXN__45__8999	['RXN__45__8999']
UROCANATE__45__HYDRATASE__45__RXN	['UROCANATE__45__HYDRATASE__45__RXN']
_1__46__1__46__1__46__262__45__RXN	['_1__46__1__46__1__46__262__45__RXN']
RXN__45__12583	['RXN__45__12583']
PORPHOBILSYNTH__45__RXN	['PORPHOBILSYNTH__45__RXN']
_3PGAREARR__45__RXN	['_3PGAREARR__45__RXN', 'RXN__45__15513']
ADENPRIBOSYLTRAN__45__RXN	['ADENPRIBOSYLTRAN__45__RXN']
DIHYDROXYISOVALDEHYDRAT__45__RXN	['DIHYDROXYISOVALDEHYDRAT__45__RXN']
RXN__45__16559	[]
UDP__45__NACMURALGLDAPLIG__45__RXN	['UDP__45__NACMURALGLDAPLIG__45__RXN']
ISPH2__45__RXN	['ISPH2__45__RXN']
RXN__45__9951	['RXN__45__9951']
NITROGENASE__45__RXN	['NITROGENASE__45__RXN']
ATPSYN__45__RXN	['ATPSYN__45__RXN']
RXN__45__12588	['RXN__45__12588']
RXN__45__17782	['RXN__45__17782']
UROGENIIISYN__45__RXN	[]
RXN__45__17780	[]
RXN__45__17781	[]
RXN__45__17786	[]
RXN__45__17787	['RXN__45__17787']
RXN__45__17784	['RXN__45__17784']
RXN__45__17785	[]
RXN__45__14116	['RXN__45__14116']
ATPPHOSPHORIBOSYLTRANS__45__RXN	['ATPPHOSPHORIBOSYLTRANS__45__RXN']
RXN__45__17789	[]
RXN__45__16319__45__CPD__45__14557__47__Cytochromes__45__C554__45__Red__47__OXYGEN__45__MOLECULE__47__PROTON__47____47__NITRITE__47__Cytochromes__45__C554__45__Ox__47__WATER__46__89__46__	['RXN__45__16319__45__CPD__45__14557__47__Cytochromes__45__C554__45__Red__47__OXYGEN__45__MOLECULE__47__PROTON__47____47__NITRITE__47__Cytochromes__45__C554__45__Ox__47__WATER__46__89__46__']
_4OHBENZOATE__45__OCTAPRENYLTRANSFER__45__RXN	['_4OHBENZOATE__45__OCTAPRENYLTRANSFER__45__RXN']
LUMAZINESYN__45__RXN	['LUMAZINESYN__45__RXN']
RXN__45__11477	[]
RXN__45__12458	['RXN__45__12458']
RXN__45__7253	['RXN__45__7253']
RXN__45__16804	[]
DAPASYN__45__RXN	[]
RXN__45__18392	['RXN__45__18392']
RXN__45__14115	['RXN__45__14115']
_1__46__6__46__99__46__5__45__RXN__45__NADH__47__UBIQUINONE__45__6__47__PROTON__47____47__NAD__47__UBIQUINOL__45__30__46__43__46__	[]
ADCLY__45__RXN	[]
RXN__45__9929	[]
RXN__45__9553	['RXN__45__9553']
RXN1G__45__460	['RXN1G__45__460']
P__45__PANTOCYSDECARB__45__RXN	['P__45__PANTOCYSDECARB__45__RXN']
RXN__45__14788	['RXN__45__14788']
RXN__45__17777	[]
_2__46__5__46__1__46__46__45__RXN	['_2__46__5__46__1__46__46__45__RXN']
RXN__45__17775	['RXN__45__17775']
RXN__45__13826	['RXN__45__13826']
RXN__45__8675	['RXN__45__8675']
RXN__45__13824	['RXN__45__13824']
RXN0__45__6382	[]
DTDPKIN__45__RXN	['DTDPKIN__45__RXN']
RXN__45__7421	[]
RXN__45__11479	['RXN__45__11479']
ABC__45__8__45__RXN__45__ATP__47__D__45__ALA__45__D__45__ALA__47__WATER__47____47__ADP__47__D__45__ALA__45__D__45__ALA__47__Pi__47__PROTON__46__49__46__	[]
GLYOHMETRANS__45__RXN	['GLYOHMETRANS__45__RXN']
OROTPDECARB__45__RXN	['OROTPDECARB__45__RXN']
RXN__45__17155	['RXN__45__17155']
DADPKIN__45__RXN	['DADPKIN__45__RXN']
_5__46__4__46__99__46__17__45__RXN	['_5__46__4__46__99__46__17__45__RXN']
RXN0__45__5182	['RXN0__45__5182']
RXN__45__14090	['RXN__45__14090']
CYSTATHIONINE__45__BETA__45__SYNTHASE__45__RXN	['CYSTATHIONINE__45__BETA__45__SYNTHASE__45__RXN']
PRAISOM__45__RXN	['PRAISOM__45__RXN']
ADENINE__45__DEAMINASE__45__RXN	['ADENINE__45__DEAMINASE__45__RXN']
RXN__45__7001__45__GUANOSINE__47__ARSENATE__47____47__GUANINE__47__RIBOSE__45__1__45__ARSENATE__46__46__46__	['RXN__45__7001__45__GUANOSINE__47__ARSENATE__47____47__GUANINE__47__RIBOSE__45__1__45__ARSENATE__46__46__46__']
RXN__45__16318__45__HYDROXYLAMINE__47__Cytochromes__45__c3__45__Oxidized__47____47__CPD__45__14557__47__Cytochromes__45__c3__45__Reduced__47__PROTON__46__79__46__	['RXN__45__16318__45__HYDROXYLAMINE__47__Cytochromes__45__c3__45__Oxidized__47____47__CPD__45__14557__47__Cytochromes__45__c3__45__Reduced__47__PROTON__46__79__46__']
RXN__45__9362	['RXN__45__9362']
RXN__45__9363	['RXN__45__9363']
R11__45__RXN	[]
RXN__45__9230	[]
RXN0__45__6274	['RXN0__45__6274']
RXN__45__17808	['RXN__45__17808']
R601__45__RXN	['R601__45__RXN']
RXN0__45__2301	['RXN0__45__2301']
LIPIDADISACCHARIDESYNTH__45__RXN	['LIPIDADISACCHARIDESYNTH__45__RXN']
RXN__45__8173	['RXN__45__8173']
RXN__45__17355	['RXN__45__17355']
RXN__45__15378	['RXN__45__15378']
_2__46__7__46__7__46__60__45__RXN	['_2__46__7__46__7__46__60__45__RXN']
_3__45__HYDROXYDECANOYL__45__ACP__45__DEHYDR__45__RXN__45__3__45__hydroxy__45__gammalinolenoyl__45__acp__47____47__dihomogammalinolenoyl__45__2__45__enoyl__45__acp__47__WATER__46__71__46__	['_3__45__HYDROXYDECANOYL__45__ACP__45__DEHYDR__45__RXN__45__3__45__hydroxy__45__gammalinolenoyl__45__acp__47____47__dihomogammalinolenoyl__45__2__45__enoyl__45__acp__47__WATER__46__71__46__']
MALONYL__45__COA__45__ACP__45__TRANSACYL__45__RXN	['MALONYL__45__COA__45__ACP__45__TRANSACYL__45__RXN']
RXN1G__45__163	['RXN1G__45__163']
GLURS__45__RXN	['GLURS__45__RXN']
RXN0__45__302	['RXN0__45__302']
RXN__45__7733	['RXN__45__7733']
RXN0__45__6491	[]
RXN__45__13179	['RXN__45__13179']
_5__46__1__46__3__46__20__45__RXN	['_5__46__1__46__3__46__20__45__RXN']
CREATININASE__45__RXN	['CREATININASE__45__RXN']
RXN__45__8850	['RXN__45__8850']
RXN__45__16319__45__CPD__45__14557__47__Cytochromes__45__CL__45__Red__47__OXYGEN__45__MOLECULE__47__PROTON__47____47__NITRITE__47__Cytochromes__45__CL__45__Ox__47__WATER__46__85__46__	['RXN__45__16319__45__CPD__45__14557__47__Cytochromes__45__CL__45__Red__47__OXYGEN__45__MOLECULE__47__PROTON__47____47__NITRITE__47__Cytochromes__45__CL__45__Ox__47__WATER__46__85__46__']
RXN__45__17354	['RXN__45__17354']
RXN1G__45__72	['RXN1G__45__72']
RXN1G__45__157__45__R__45__3__45__hydroxybehenoyl__45__ACPs__47__NADP__47____47__3__45__oxo__45__behenoyl__45__ACPs__47__NADPH__47__PROTON__46__64__46__	['_3__45__OXOACYL__45__ACP__45__REDUCT__45__RXN__45__R__45__3__45__hydroxybehenoyl__45__ACPs__47__NADP__47____47__3__45__oxo__45__behenoyl__45__ACPs__47__NADPH__47__PROTON__46__64__46__', 'RXN1G__45__469__45__R__45__3__45__hydroxybehenoyl__45__ACPs__47__NADP__47____47__3__45__oxo__45__behenoyl__45__ACPs__47__NADPH__47__PROTON__46__64__46__', 'RXN1G__45__157__45__R__45__3__45__hydroxybehenoyl__45__ACPs__47__NADP__47____47__3__45__oxo__45__behenoyl__45__ACPs__47__NADPH__47__PROTON__46__64__46__']
RXN__45__10851	['RXN__45__10851']
_3__46__5__46__5__46__1__45__RXN__45__HCN__47__WATER__47____47__FORMATE__47__AMMONIUM__46__28__46__	['_3__46__5__46__5__46__1__45__RXN__45__HCN__47__WATER__47____47__FORMATE__47__AMMONIUM__46__28__46__']
ALCOHOL__45__DEHYDROG__45__RXN	['ALCOHOL__45__DEHYDROG__45__RXN']
NADPH__45__DEHYDROGENASE__45__FLAVIN__45__RXN	['NADPH__45__DEHYDROGENASE__45__FLAVIN__45__RXN']
RXN__45__9787	['RXN__45__9787']
ACETATEKIN__45__RXN	['ACETATEKIN__45__RXN']
GTPPYPHOSKIN__45__RXN	['GTPPYPHOSKIN__45__RXN']
TRANS__45__RXN__45__167A__45__Hpr__45__pi__45__phospho__45__L__45__histidines__47__GLUCOSAMINE__47____47__D__45__GLUCOSAMINE__45__6__45__P__47__Hpr__45__Histidine__46__73__46__	[]
DXPREDISOM__45__RXN	['DXPREDISOM__45__RXN']
ACECOATRANS__45__RXN__45__CPD__45__196__47__ACET__47____47__CPD__45__195__47__ACETYL__45__COA__46__33__46__	[]
GDP__45__MANNOSE__45__6__45__DEHYDROGENASE__45__RXN	['GDP__45__MANNOSE__45__6__45__DEHYDROGENASE__45__RXN']
_1__46__8__46__4__46__12__45__RXN	['_1__46__8__46__4__46__12__45__RXN']
RXN__45__15510	['RXN__45__15510']
RXN0__45__308	['RXN0__45__308']
UDPNACETYLMURAMATEDEHYDROG__45__RXN	['UDPNACETYLMURAMATEDEHYDROG__45__RXN']
_2__46__9__46__1__46__1__45__RXN	['_2__46__9__46__1__46__1__45__RXN']
PHOSPHASERSYN__45__RXN	['PHOSPHASERSYN__45__RXN']
GLUTAMIN__45__RXN	['GLUTAMIN__45__RXN']
GLUTDEHYD__45__RXN	[]
DTDPGLUCOSEPP__45__RXN	['DTDPGLUCOSEPP__45__RXN']
RXN__45__905	[]
RXN__45__902	[]
RXN__45__11698	['RXN__45__11698']
_4__46__2__46__3__46__12__45__RXN	[]
RXN__45__13595	['RXN__45__13595']
PHOSPHOGLUCMUT__45__RXN__45__GLC__45__1__45__P__47____47__GLC__45__6__45__P__46__17__46__	['PHOSPHOGLUCMUT__45__RXN__45__GLC__45__1__45__P__47____47__GLC__45__6__45__P__46__17__46__']
RXN__45__11758	[]
RXN__45__7001__45__ADENOSINE__47__ARSENATE__47____47__ADENINE__47__RIBOSE__45__1__45__ARSENATE__46__46__46__	['RXN__45__7001__45__ADENOSINE__47__ARSENATE__47____47__ADENINE__47__RIBOSE__45__1__45__ARSENATE__46__46__46__']
GLUTAMINESYN__45__RXN	['GLUTAMINESYN__45__RXN']
RXN__45__1381__45__TETRADECANOYL__45__COA__47__GLYCEROL__45__3P__47____47__CPD__45__18379__47__CO__45__A__46__46__46__	[]
_2__46__7__46__1__46__90__45__RXN	['_2__46__7__46__1__46__90__45__RXN']
_1__46__15__46__1__46__2__45__RXN	['_1__46__15__46__1__46__2__45__RXN']
RXN0__45__5055	[]
RXN__45__16318__45__HYDROXYLAMINE__47__Cytochromes__45__C552__45__Ox__47____47__CPD__45__14557__47__Cytochromes__45__C552__45__Red__47__PROTON__46__73__46__	['RXN__45__16318__45__HYDROXYLAMINE__47__Cytochromes__45__C552__45__Ox__47____47__CPD__45__14557__47__Cytochromes__45__C552__45__Red__47__PROTON__46__73__46__']
RXN0__45__5359	['RXN0__45__5359']
ACYLCOADEHYDROG__45__RXN__45__PALMITYL__45__COA__47__ETF__45__Oxidized__47__PROTON__47____47__CPD0__45__2117__47__ETF__45__Reduced__46__56__46__	[]
RXN__45__14189	['RXN__45__14189']
AMPSYN__45__RXN	['AMPSYN__45__RXN']
UDP__45__NACMURALGLDAPAALIG__45__RXN	['UDP__45__NACMURALGLDAPAALIG__45__RXN']
RXN__45__17931	['RXN__45__17931']
RXN__45__7001__45__INOSINE__47__ARSENATE__47____47__HYPOXANTHINE__47__RIBOSE__45__1__45__ARSENATE__46__49__46__	['RXN__45__7001__45__INOSINE__47__ARSENATE__47____47__HYPOXANTHINE__47__RIBOSE__45__1__45__ARSENATE__46__49__46__']
RXN__45__11350	['RXN__45__11350']
COBALAMIN5PSYN__45__RXN	['COBALAMIN5PSYN__45__RXN']
_2__45__ISOPROPYLMALATESYN__45__RXN	['_2__45__ISOPROPYLMALATESYN__45__RXN']
_2__46__1__46__1__46__132__45__RXN	['_2__46__1__46__1__46__132__45__RXN']
RXN__45__18446	['RXN__45__18446']
RXN__45__18447	['RXN__45__18447']
RXN0__45__17	[]
_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__Reduced__45__cytochromes__45__c2__47__PROTON__47____47__AMMONIUM__47__Oxidized__45__cytochromes__45__c2__47__WATER__46__78__46__	['_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__Reduced__45__cytochromes__45__c2__47__PROTON__47____47__AMMONIUM__47__Oxidized__45__cytochromes__45__c2__47__WATER__46__78__46__']
_5__46__4__46__99__46__15__45__RXN	['_5__46__4__46__99__46__15__45__RXN']
_6__46__3__46__2__46__10__45__RXN	['_6__46__3__46__2__46__10__45__RXN']
CTPSYN__45__RXN	['CTPSYN__45__RXN']
RXN__45__18448	['RXN__45__18448']
RXN__45__14260	['RXN__45__14260']
RXN__45__10032	['RXN__45__10032']
PROLINE__45____45__TRNA__45__LIGASE__45__RXN	['PROLINE__45____45__TRNA__45__LIGASE__45__RXN']
RIBULP3EPIM__45__RXN	['RIBULP3EPIM__45__RXN']
RXN66__45__3	['RXN66__45__3']
_3__45__OXOACID__45__COA__45__TRANSFERASE__45__RXN	['_3__45__OXOACID__45__COA__45__TRANSFERASE__45__RXN']
_3__45__DEHYDROQUINATE__45__SYNTHASE__45__RXN	['_3__45__DEHYDROQUINATE__45__SYNTHASE__45__RXN']
RXN__45__13403	['RXN__45__13403']
RXN1G__45__358	['RXN1G__45__358']
_1__46__8__46__98__46__1__45__RXN	['_1__46__8__46__98__46__1__45__RXN']
RXN__45__15635	['RXN__45__15635']
_2__46__5__46__1__46__19__45__RXN	['_2__46__5__46__1__46__19__45__RXN']
RXN__45__18211	['RXN__45__18211']
RXN__45__18210	['RXN__45__18210']
_3__46__1__46__1__46__73__45__RXN	[]
RXN__45__18605__45__NITRITE__47__a__45__reduced__45__NrfB__45__protein__47__PROTON__47____47__an__45__oxidized__45__NrfB__45__protein__47__AMMONIUM__47__WATER__46__79__46__	['_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__a__45__reduced__45__NrfB__45__protein__47__PROTON__47____47__AMMONIUM__47__an__45__oxidized__45__NrfB__45__protein__47__WATER__46__79__46__', 'RXN__45__18605__45__NITRITE__47__a__45__reduced__45__NrfB__45__protein__47__PROTON__47____47__an__45__oxidized__45__NrfB__45__protein__47__AMMONIUM__47__WATER__46__79__46__']
RXN__45__14264	['RXN__45__14264']
RXN__45__9655	['RXN__45__9655']
RXN0__45__5514	['RXN0__45__5514']
_2__46__7__46__9__46__3__45__RXN	['_2__46__7__46__9__46__3__45__RXN']
RXN0__45__5222	['RXN0__45__5222']
GLUTACONATE__45__COA__45__TRANSFERASE__45__RXN	['GLUTACONATE__45__COA__45__TRANSFERASE__45__RXN']
RXN0__45__5225	['RXN0__45__5225']
RXN0__45__5226	['RXN0__45__5226']
_2__46__7__46__8__46__6__45__RXN	['_2__46__7__46__8__46__6__45__RXN']
DUDPKIN__45__RXN	['DUDPKIN__45__RXN']
ASPARTATE__45____45__TRNA__45__LIGASE__45__RXN	['ASPARTATE__45____45__TRNA__45__LIGASE__45__RXN']
SERINE__45____45__TRNA__45__LIGASE__45__RXN	['SERINE__45____45__TRNA__45__LIGASE__45__RXN']
RXN__45__8631	['RXN__45__8631']
L__45__ASPARTATE__45__OXID__45__RXN	['L__45__ASPARTATE__45__OXID__45__RXN']
IMIDAZOLONEPROPIONASE__45__RXN	['IMIDAZOLONEPROPIONASE__45__RXN']
NITRIC__45__OXIDE__45__SYNTHASE__45__RXN	[]
RXN0__45__949	['RXN0__45__949']
TRANS__45__RXN__45__157__45__Hpr__45__pi__45__phospho__45__L__45__histidines__47__ALPHA__45__GLUCOSE__47____47__D__45__glucopyranose__45__6__45__phosphate__47__Hpr__45__Histidine__46__85__46__	[]
ADENYL__45__KIN__45__RXN	['ADENYL__45__KIN__45__RXN']
CYTOCHROME__45__C__45__PEROXIDASE__45__RXN__45__HYDROGEN__45__PEROXIDE__47__Cytochromes__45__C552__45__Red__47__PROTON__47____47__Cytochromes__45__C552__45__Ox__47__WATER__46__73__46__	[]
RXN__45__13443__45__CPD__45__14423__47__NADH__47__PROTON__47____47__CPD__45__14424__47__NAD__46__37__46__	['RXN__45__13443__45__CPD__45__14423__47__NADH__47__PROTON__47____47__CPD__45__14424__47__NAD__46__37__46__']
_3__45__ISOPROPYLMALDEHYDROG__45__RXN	['_3__45__ISOPROPYLMALDEHYDROG__45__RXN']
RXN0__45__5515	['RXN0__45__5515']
ASPARAGINE__45____45__TRNA__45__LIGASE__45__RXN	['ASPARAGINE__45____45__TRNA__45__LIGASE__45__RXN']
RXN__45__15043	['RXN__45__15043']
RXN__45__7716	['RXN__45__7716']
ACETATE__45____45__COA__45__LIGASE__45__RXN	['ACETATE__45____45__COA__45__LIGASE__45__RXN']
RXN__45__15889	['RXN__45__15889']
ACETOLACTREDUCTOISOM__45__RXN	['ACETOLACTREDUCTOISOM__45__RXN']
PRTRANS__45__RXN	['PRTRANS__45__RXN']
RIBONUCLEOSIDE__45__DIP__45__REDUCTI__45__RXN__45__DUDP__47__Ox__45__Thioredoxin__47__WATER__47____47__UDP__47__Red__45__Thioredoxin__46__47__46__	['UDPREDUCT__45__RXN']
RXN__45__11838	[]
RXN__45__17116	['RXN__45__17116']
RXN__45__17115	[]
RXN__45__17114	[]
RXN66__45__478	['RXN66__45__478']
RXN__45__14728	[]
_3__45__OXOACYL__45__ACP__45__SYNTH__45__BASE__45__RXN	['_3__45__OXOACYL__45__ACP__45__SYNTH__45__BASE__45__RXN']
COBALAMINSYN__45__RXN	['COBALAMINSYN__45__RXN']
SPERMINE__45__SYNTHASE__45__RXN	['SPERMINE__45__SYNTHASE__45__RXN']
RXN__45__14727	[]
RXN__45__6261	[]
RXN66__45__472	['RXN66__45__472']
_1__46__6__46__99__46__5__45__RXN__45__NADH__47__UBIQUINONE__45__10__47__PROTON__47____47__NAD__47__CPD__45__9958__46__40__46__	[]
GLYC3PDEHYDROGBIOSYN__45__RXN__45__GLYCEROL__45__3P__47__NADP__47____47__DIHYDROXY__45__ACETONE__45__PHOSPHATE__47__NADPH__47__PROTON__46__59__46__	['GLYC3PDEHYDROGBIOSYN__45__RXN__45__GLYCEROL__45__3P__47__NADP__47____47__DIHYDROXY__45__ACETONE__45__PHOSPHATE__47__NADPH__47__PROTON__46__59__46__']
PYRIDOXAL__45__4__45__DEHYDROGENASE__45__RXN	['PYRIDOXAL__45__4__45__DEHYDROGENASE__45__RXN']
_2__46__3__46__1__46__155__45__RXN	['_2__46__3__46__1__46__155__45__RXN']
CITRYLY__45__RXN	['CITRYLY__45__RXN']
KDO__45__8PSYNTH__45__RXN	['KDO__45__8PSYNTH__45__RXN']
_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__Reduced__45__cytochromes__45__c553__47__PROTON__47____47__AMMONIUM__47__Oxidized__45__cytochromes__45__c553__47__WATER__46__82__46__	['_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__Reduced__45__cytochromes__45__c553__47__PROTON__47____47__AMMONIUM__47__Oxidized__45__cytochromes__45__c553__47__WATER__46__82__46__']
RXN__45__10994	['RXN__45__10994']
R8__45__RXN	[]
THIOREDOXIN__45__REDUCT__45__NADPH__45__RXN	['THIOREDOXIN__45__REDUCT__45__NADPH__45__RXN']
_2__45__METHYLCITRATE__45__DEHYDRATASE__45__RXN	['_2__45__METHYLCITRATE__45__DEHYDRATASE__45__RXN']
N__45__ACETYLGLUCOSAMINE__45__KINASE__45__RXN	[]
RXN__45__15881	['RXN__45__15881']
RXN__45__17847	['RXN__45__17847']
RXN__45__17846	['RXN__45__17846']
RXN__45__15121	['RXN__45__15121']
BUTYRYL__45__COA__45__DEHYDROGENASE__45__RXN	['BUTYRYL__45__COA__45__DEHYDROGENASE__45__RXN']
RXN__45__17024	['RXN__45__17024']
RXN__45__17023	['RXN__45__17023']
RXN__45__17022	['RXN__45__17022']
RXN__45__17021	['RXN__45__17021']
RXN__45__17020	['RXN__45__17020']
RXN__45__16765	['RXN__45__16765']
PSERTRANSAM__45__RXN	[]
RXN0__45__6435	[]
ADENPHOSPHOR__45__RXN	['ADENPHOSPHOR__45__RXN']
FORMYLMETHANOFURAN__45__DEHYDROGENASE__45__RXN	['FORMYLMETHANOFURAN__45__DEHYDROGENASE__45__RXN']
UDP__45__NACMUR__45__ALA__45__LIG__45__RXN	['UDP__45__NACMUR__45__ALA__45__LIG__45__RXN']
DCDPKIN__45__RXN	['DCDPKIN__45__RXN']
RXN__45__10814	['RXN__45__10814']
NAD__45__KIN__45__RXN	['NAD__45__KIN__45__RXN']
UROPORIIIMETHYLTRANSA__45__RXN	['UROPORIIIMETHYLTRANSA__45__RXN']
RXN__45__10819	['RXN__45__10819']
RXN__45__14224	['RXN__45__14224']
RXN__45__15149	[]
FORMATETHFLIG__45__RXN	['FORMATETHFLIG__45__RXN']
THREONINE__45____45__TRNA__45__LIGASE__45__RXN	['THREONINE__45____45__TRNA__45__LIGASE__45__RXN']
ARGDECARBOX__45__RXN	['ARGDECARBOX__45__RXN']
N__45__ACETYLGLUCOSAMINE__45__KINASE__45__RXN__45__N__45__ACETYL__45__D__45__GLUCOSAMINE__47__ATP__47____47__N__45__ACETYL__45__D__45__GLUCOSAMINE__45__6__45__P__47__ADP__47__PROTON__46__66__46__	[]
RXN__45__12726	['RXN__45__12726']
RXNQT__45__4171	['RXNQT__45__4171']
RXN__45__14227	['RXN__45__14227']
RXN0__45__2044	[]
RXN__45__2881	['RXN__45__2881']
ACETYLSYNCLTH__45__RXN	['ACETYLSYNCLTH__45__RXN']
PHEAMINOTRANS__45__RXN	['RXN__45__10814']
RXN0__45__5061	['RXN0__45__5061']
GLYRIBONUCSYN__45__RXN	['GLYRIBONUCSYN__45__RXN']
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS__45__RXN	['UDPHYDROXYMYRGLUCOSAMNACETYLTRANS__45__RXN']
PHENYLALANINE__45____45__TRNA__45__LIGASE__45__RXN	['PHENYLALANINE__45____45__TRNA__45__LIGASE__45__RXN']
RXN__45__14261	['RXN__45__14261']
_2__45__OCTAPRENYLPHENOL__45__HYDROX__45__RXN	[]
_2__46__1__46__1__46__151__45__RXN	[]
RXN__45__7719	['RXN__45__7719']
RXN__45__14266	[]
QUINOLINATE__45__SYNTHE__45__MULTI__45__RXN	[]
RXN__45__14268	['RXN__45__14268']
RXN__45__14382	['RXN__45__14382']
ADENOSYLHOMOCYSTEINE__45__NUCLEOSIDASE__45__RXN	['ADENOSYLHOMOCYSTEINE__45__NUCLEOSIDASE__45__RXN']
PANTEPADENYLYLTRAN__45__RXN	['PANTEPADENYLYLTRAN__45__RXN']
RXN__45__11217	['RXN__45__11217']
RXN__45__9537	['RXN__45__9537']
_2__45__OCTAPRENYL__45__6__45__OHPHENOL__45__METHY__45__RXN	[]
RXN__45__19022	['RXN__45__19022']
RXN__45__16165	['RXN__45__16165']
RXN__45__13417	['RXN__45__13417']
DEOXYRIBOSE__45__P__45__ALD__45__RXN	['DEOXYRIBOSE__45__P__45__ALD__45__RXN']
GLUTAMATESYN__45__RXN	[]
RXN__45__13414	['RXN__45__13414']
ACSERLY__45__RXN	['ACSERLY__45__RXN']
MALTODEG__45__RXN__45__MALTOHEXAOSE__47__MALTOSE__47____47__CPD0__45__1133__47__ALPHA__45__GLUCOSE__46__46__46__	['MALTODEG__45__RXN__45__MALTOHEXAOSE__47__MALTOSE__47____47__CPD0__45__1133__47__ALPHA__45__GLUCOSE__46__46__46__']
RXN__45__9003	[]
INORGPYROPHOSPHAT__45__RXN	['INORGPYROPHOSPHAT__45__RXN']
RXN0__45__1147	['RXN0__45__1147']
RXN__45__13415	['RXN__45__13415']
RXN__45__16318__45__HYDROXYLAMINE__47__an__45__oxidized__45__NrfB__45__protein__47____47__CPD__45__14557__47__a__45__reduced__45__NrfB__45__protein__47__PROTON__46__80__46__	['RXN__45__16318__45__HYDROXYLAMINE__47__an__45__oxidized__45__NrfB__45__protein__47____47__CPD__45__14557__47__a__45__reduced__45__NrfB__45__protein__47__PROTON__46__80__46__']
AICARTRANSFORM__45__RXN	['AICARTRANSFORM__45__RXN']
KANAMYCIN__45__KINASE__45__RXN	['KANAMYCIN__45__KINASE__45__RXN']
PYRAZIN__45__RXN	[]
_1__46__6__46__99__46__5__45__RXN__45__NADH__47__UBIQUINONE__45__9__47__PROTON__47____47__NAD__47__CPD__45__9957__46__39__46__	['_1__46__6__46__99__46__5__45__RXN__45__NADH__47__UBIQUINONE__45__9__47__PROTON__47____47__NAD__47__CPD__45__9957__46__39__46__']
_1__46__2__46__1__46__65__45__RXN	[]
SAMDECARB__45__RXN	['SAMDECARB__45__RXN']
THIAZOLSYN3__45__RXN	['THIAZOLSYN3__45__RXN']
RXN__45__8760	[]
HYDROG__45__RXN	['HYDROG__45__RXN']
GLUCOKIN__45__RXN__45__Glucopyranose__47__ATP__47____47__GLC__45__6__45__P__47__ADP__47__PROTON__46__38__46__	[]
_2OXOGLUTARATEDEH__45__RXN	['_2OXOGLUTARATEDEH__45__RXN']
UDP__45__NACMURALA__45__GLU__45__LIG__45__RXN	['UDP__45__NACMURALA__45__GLU__45__LIG__45__RXN']
RXN__45__1223	[]
METHYLACETOACETYLCOATHIOL__45__RXN	['METHYLACETOACETYLCOATHIOL__45__RXN']
RXN__45__14160	['RXN__45__14160']
ACETYLGLUTKIN__45__RXN	['ACETYLGLUTKIN__45__RXN']
ACETOOHBUTREDUCTOISOM__45__RXN	['ACETOOHBUTREDUCTOISOM__45__RXN']
RXN__45__9797	['RXN__45__9797']
PYRUFLAVREDUCT__45__RXN	['PYRUFLAVREDUCT__45__RXN']
RXN__45__13697	['ASPAMINOTRANS__45__RXN', 'RXN__45__13697']
DEOXYGUANPHOSPHOR__45__RXN	['DEOXYGUANPHOSPHOR__45__RXN']
RXN1G__45__363	['RXN1G__45__363']
AMYLOMALT__45__RXN__45__MALTOTETRAOSE__47__ALPHA__45__GLUCOSE__47____47__MALTOTRIOSE__47__MALTOSE__46__49__46__	['AMYLOMALT__45__RXN__45__MALTOTETRAOSE__47__ALPHA__45__GLUCOSE__47____47__MALTOTRIOSE__47__MALTOSE__46__49__46__']
RXN__45__14261__45__MALTOHEXAOSE__47__ALPHA__45__GLUCOSE__47____47__MALTOPENTAOSE__47__MALTOSE__46__50__46__	['RXN__45__14261__45__MALTOHEXAOSE__47__ALPHA__45__GLUCOSE__47____47__MALTOPENTAOSE__47__MALTOSE__46__50__46__']
_1__46__2__46__7__46__4__45__RXN	['_1__46__2__46__7__46__4__45__RXN']
TIGLYLCOA__45__HYDROXY__45__RXN	[]
ARGSUCCINLYA__45__RXN	['ARGSUCCINLYA__45__RXN']
RXN0__45__2461	[]
DIHYDROOROTATE__45__DEHYDROGENASE__45__RXN	[]
RXN__45__12720	['RXN__45__12720']
RXN__45__9648	['RXN__45__9648']
RXN__45__12611	['RXN__45__12611']
RXN__45__12610	['RXN__45__12610']
ADENYLYLSULFATE__45__REDUCTASE__45__RXN	['ADENYLYLSULFATE__45__REDUCTASE__45__RXN']
RXN0__45__5063	[]
RXN__45__13684	[]
