DTDPDEHYRHAMREDUCT__45__RXN	['DTDPDEHYRHAMREDUCT__45__RXN']
_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__a__45__reduced__45__NrfB__45__protein__47__PROTON__47____47__AMMONIUM__47__an__45__oxidized__45__NrfB__45__protein__47__WATER__46__79__46__	['_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__a__45__reduced__45__NrfB__45__protein__47__PROTON__47____47__AMMONIUM__47__an__45__oxidized__45__NrfB__45__protein__47__WATER__46__79__46__', 'RXN__45__18605__45__NITRITE__47__a__45__reduced__45__NrfB__45__protein__47__PROTON__47____47__an__45__oxidized__45__NrfB__45__protein__47__AMMONIUM__47__WATER__46__79__46__']
SHIKIMATE__45__5__45__DEHYDROGENASE__45__RXN	[]
BIOTIN__45__CARBOXYL__45__RXN	['BIOTIN__45__CARBOXYL__45__RXN']
RXN__45__16653	['RXN__45__16653']
RXN__45__16656	['RXN__45__16656']
RXN__45__16655	['RXN__45__16655']
RXN__45__16654	['RXN__45__16654']
RXN__45__12994__45__CPD__45__14419__47__NAD__47____47__CPD__45__14422__47__NADH__47__PROTON__46__37__46__	['RXN__45__12994__45__CPD__45__14419__47__NAD__47____47__CPD__45__14422__47__NADH__47__PROTON__46__37__46__']
PYRROLINECARBREDUCT__45__RXN__45__PRO__47__NAD__47____47__L__45__DELTA1__45__PYRROLINE_5__45__CARBOXYLATE__47__NADH__47__PROTON__46__54__46__	['PYRROLINECARBREDUCT__45__RXN__45__PRO__47__NAD__47____47__L__45__DELTA1__45__PYRROLINE_5__45__CARBOXYLATE__47__NADH__47__PROTON__46__54__46__']
RXN__45__11476	['RXN__45__11476']
RXN__45__14117	['RXN__45__14117']
RXN__45__11474	['RXN__45__11474']
H2PTEROATESYNTH__45__RXN	['H2PTEROATESYNTH__45__RXN']
_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__Cytochromes__45__c3__45__Reduced__47__PROTON__47____47__AMMONIUM__47__Cytochromes__45__c3__45__Oxidized__47__WATER__46__78__46__	['_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__Cytochromes__45__c3__45__Reduced__47__PROTON__47____47__AMMONIUM__47__Cytochromes__45__c3__45__Oxidized__47__WATER__46__78__46__']
RXN__45__16631	[]
RXN0__45__6705	['RXN0__45__6705']
RXN__45__14280	['RXN__45__14280']
RXN__45__16318__45__HYDROXYLAMINE__47__Oxidized__45__cytochromes__45__c2__47____47__CPD__45__14557__47__Reduced__45__cytochromes__45__c2__47__PROTON__46__79__46__	['RXN__45__16318__45__HYDROXYLAMINE__47__Oxidized__45__cytochromes__45__c2__47____47__CPD__45__14557__47__Reduced__45__cytochromes__45__c2__47__PROTON__46__79__46__']
RXN__45__14286	['RXN__45__14286']
RXN__45__14014__45__DELTA1__45__PIPERIDEINE__45__2__45__6__45__DICARBOXYLATE__47__NADP__47__WATER__47____47__CPD__45__14443__47__NADPH__47__PROTON__46__72__46__	['RXN__45__14014__45__DELTA1__45__PIPERIDEINE__45__2__45__6__45__DICARBOXYLATE__47__NADP__47__WATER__47____47__CPD__45__14443__47__NADPH__47__PROTON__46__72__46__']
RXN__45__14284	['RXN__45__14284']
RXN__45__14285	['RXN__45__14285']
GLUCOKIN__45__RXN__45__GLC__47__ATP__47____47__D__45__glucopyranose__45__6__45__phosphate__47__ADP__47__PROTON__46__48__46__	[]
_2__46__5__46__1__46__39__45__RXN	[]
RXN__45__16024	[]
RXN__45__16025	['RXN__45__16025']
ALDHDEHYDROG__45__RXN__45__BUTANAL__47__NAD__47__WATER__47____47__BUTYRIC_ACID__47__NADH__47__PROTON__46__44__46__	['ALDHDEHYDROG__45__RXN__45__BUTANAL__47__NAD__47__WATER__47____47__BUTYRIC_ACID__47__NADH__47__PROTON__46__44__46__']
SUPEROX__45__DISMUT__45__RXN	['SUPEROX__45__DISMUT__45__RXN']
RXN__45__16032__45__PALMITYL__45__COA__47__1__45__PALMITOYLGLYCEROL__45__3__45__PHOSPHATE__47____47__CPD0__45__1422__47__CO__45__A__46__61__46__	['RXN__45__16032__45__PALMITYL__45__COA__47__1__45__PALMITOYLGLYCEROL__45__3__45__PHOSPHATE__47____47__CPD0__45__1422__47__CO__45__A__46__61__46__']
RXN__45__11842	[]
DXS__45__RXN	['DXS__45__RXN']
AGMATIN__45__RXN	['AGMATIN__45__RXN']
RXN__45__9652	['RXN__45__9652']
RXN__45__9653	['RXN__45__9653']
RXN__45__9650	['RXN__45__9650']
RXN__45__9651	['RXN__45__9651']
RXN__45__9654	['RXN__45__9654']
RXN__45__11480	['RXN__45__11480']
GLYOXIII__45__RXN	['GLYOXIII__45__RXN']
UDPKIN__45__RXN	['UDPKIN__45__RXN']
RXN__45__12460	['RXN__45__12460']
RXN__45__13616	[]
MALTODEG__45__RXN	['MALTODEG__45__RXN']
RXN__45__14277	['RXN__45__14277']
CARBAMATE__45__KINASE__45__RXN	['CARBAMATE__45__KINASE__45__RXN']
GTP__45__CYCLOHYDRO__45__I__45__RXN	['GTP__45__CYCLOHYDRO__45__I__45__RXN']
RXN__45__14274	['RXN__45__14274']
RXN__45__14273	[]
RXN__45__14272	[]
RXN__45__14271	[]
RXN__45__16319__45__CPD__45__14557__47__Reduced__45__cytochromes__45__c2__47__OXYGEN__45__MOLECULE__47__PROTON__47____47__NITRITE__47__Oxidized__45__cytochromes__45__c2__47__WATER__46__95__46__	['RXN__45__16319__45__CPD__45__14557__47__Reduced__45__cytochromes__45__c2__47__OXYGEN__45__MOLECULE__47__PROTON__47____47__NITRITE__47__Oxidized__45__cytochromes__45__c2__47__WATER__46__95__46__']
RXN__45__16627	[]
_1__46__6__46__99__46__5__45__RXN__45__NADH__47__CPD__45__9612__47__PROTON__47____47__NAD__47__CPD__45__15301__46__36__46__	['_1__46__6__46__99__46__5__45__RXN__45__NADH__47__CPD__45__9612__47__PROTON__47____47__NAD__47__CPD__45__15301__46__36__46__']
OXALODECARB__45__RXN	['OXALODECARB__45__RXN']
